St. Kitts and Nevis;KNA;;119,1089358;
Korea, Rep.;KOR;;140,5658819;148,5880603
Kuwait;KWT;;162,7763396;180,9950542
Latin America & Caribbean (excluding high income);LAC;;108,7077295;109,6294767
Lao PDR;LAO;;64,95535792;
Lebanon;LBN;;76,67627276;
Liberia;LBR;;31,82876165;
Libya;LBY;;206,7027087;204,6286291
St. Lucia;LCA;;95,63211097;
Latin America & Caribbean;LCN;;107,9257399;108,9126603
Least developed countries: UN classification;LDC;;77,85023207;78,90321548
Low income;LIC;;59,51198403;61,54658416
Liechtenstein;LIE;;126,0867338;126,2796552
Sri Lanka;LKA;;141,2920218;143,0794174
Lower middle income;LMC;;96,52909731;95,79661826
Low & middle income;LMY;;104,4872593;104,4160599
Lesotho;LSO;;79,83391293;67,51784393
Late-demographic dividend;LTE;;125,8121345;126,7458281
Lithuania;LTU;;133,7323188;139,1367809
Luxembourg;LUX;;137,0751156;
Latvia;LVA;;115,358508;117,0957679
Macao SAR, China;MAC;;185,6588995;174,5212668
Morocco;MAR;;137,4592738;
Monaco;MCO;;102,0171182;106,8167485
Moldova;MDA;;127,3941322;127,4162572
Madagascar;MDG;;56,30041625;70,18472487
Maldives;MDV;;135,3978652;136,5417622
Middle East & North Africa;MEA;;113,4983704;124,1333773
Mexico;MEX;;99,81384101;100,2881985
Marshall Islands;MHL;;38,04994055;
Middle income;MIC;;109,6706841;108,2720045
North Macedonia;MKD;;92,29897353;97,83329942
Mali;MLI;;111,0929919;114,4971206
Malta;MLT;;123,3832876;131,5920538
Myanmar;MMR;;126,2686102;106,6964737
Middle East & North Africa (excluding high income);MNA;;108,9973324;118,5217918
Montenegro;MNE;;178,3957863;203,1681662
Mongolia;MNG;;140,012223;142,2895592
Mozambique;MOZ;;42,66671846;42,07158261
Mauritania;MRT;;141,1137094;113,1204131
Mauritius;MUS;;151,765127;161,3582163
Malawi;MWI;;60,03162334;60,12725997
Malaysia;MYS;;140,5905675;141,2923164
North America;NAC;;105,3638797;108,2336875
Namibia;NAM;;115,2226488;113,1970166
New Caledonia;NCL;;90,34051425;
Niger;NER;;56,38600069;
Nigeria;NGA;;91,43723303;101,6857635
Nicaragua;NIC;;97,10898703;
Netherlands;NLD;;125,0621654;118,0652669
Norway;NOR;;109,6884687;110,6788541
Nepal;NPL;;127,2282803;
Nauru;NRU;;79,92327366;
New Zealand;NZL;;113,9631575;114,6898687
OECD members;OED;;119,6617309;122,3048051
Oman;OMN;;135,0769728;
Other small states;OSS;;118,2071445;123,5498946
Pakistan;PAK;;81,55130785;81,74691267
Panama;PAN;;147,7006123;156,3065885
Peru;PER;;127,8361756;122,0264016
Philippines;PHL;;143,4358742;144,0428223
Palau;PLW;;133,1557923;132,927167
Papua New Guinea;PNG;;48,42485057;
Poland;POL;;132,058828;131,9444373
Pre-demographic dividend;PRE;;80,38551665;86,7805675
Puerto Rico;PRI;;112,4430134;119,7930948
Korea, Dem. People's Rep.;PRK;;23,10188288;
Portugal;PRT;;120,9425503;124,5494123
Paraguay;PRY;;118,9635011;127,7049687
West Bank and Gaza;PSE;;77,60221248;
Pacific island small states;PSS;;76,17971594;
Post-demographic dividend;PST;;122,4642882;124,3530579
French Polynesia;PYF;;106,2118461;106,9831755
Qatar;QAT;;144,2023856;174,1281471
Romania;ROU;;118,6275646;118,1071502
Russian Federation;RUS;;168,9847242;
Rwanda;RWA;;80,99152957;79,86005064
South Asia;SAS;;85,21259242;83,82956048
Saudi Arabia;SAU;;126,3611144;132,3800002
Sudan;SDN;;75,55500225;73,96660858
Senegal;SEN;;117,676782;120,4336409
Singapore;SGP;;147,480416;156,4790531
Solomon Islands;SLB;;66,96324509;
Sierra Leone;SLE;;97,70150515;
El Salvador;SLV;;175,3370318;181,6273204
San Marino;SMR;;118,5325668;121,8062983
Somalia;SOM;;51,82360917;50,25710738
Serbia;SRB;;123,7205974;
Sub-Saharan Africa (excluding high income);SSA;;84,20865063;88,55524873
South Sudan;SSD;;30,48067634;30,02012982
Sub-Saharan Africa;SSF;;84,21662412;88,56512504
Small states;SST;;114,3911115;121,4375869
Sao Tome and Principe;STP;;84,81983981;86,77896033
Suriname;SUR;;147,8293071;150,2880072
Slovak Republic;SVK;;135,1475011;131,9254542
Slovenia;SVN;;123,0185759;126,1838135
Sweden;SWE;;124,3473047;125,0711442
Eswatini;SWZ;;120,0524881;122,1702298
Seychelles;SYC;;172,6683573;191,50843
Syrian Arab Republic;SYR;;79,67746006;
Chad;TCD;;60,22303015;68,19628834
East Asia & Pacific (IDA & IBRD countries);TEA;;126,5227608;126,8149206
Europe & Central Asia (IDA & IBRD countries);TEC;;132,9647592;115,2659114
Togo;TGO;;72,35295227;74,18189659
Thailand;THA;;168,7823161;176,3169269
Tajikistan;TJK;;118,8094765;
Turkmenistan;TKM;;98,62541796;
Latin America & the Caribbean (IDA & IBRD countries);TLA;;108,6981254;109,6138389
Timor-Leste;TLS;;104,9381426;110,4161199
Middle East & North Africa (IDA & IBRD countries);TMN;;109,3939742;118,5217918
Tonga;TON;;60,67706123;
South Asia (IDA & IBRD);TSA;;85,21259242;83,82956048
Sub-Saharan Africa (IDA & IBRD countries);TSS;;84,21662412;88,56512504
Trinidad and Tobago;TTO;;130,8832291;130,5663978
Tunisia;TUN;;127,5767095;129,2577838
Turkiye;TUR;;101,785223;105,807654
Tuvalu;TUV;;80,32845412;
Tanzania;TZA;;84,99103625;91,89984822
Uganda;UGA;;65,70386414;69,986293
Ukraine;UKR;;135,025689;
Upper middle income;UMC;;124,5161702;122,4411334
Uruguay;URY;;136,9212202;138,526391
United States;USA;;107,319451;110,1664718
Uzbekistan;UZB;;102,8976203;103,0681174
St. Vincent and the Grenadines;VCT;;94,15232144;100,4617693
Venezuela, RB;VEN;;60,31557029;63,41889546
British Virgin Islands;VGB;;120,9465973;
Virgin Islands (U.S.);VIR;;79,92726619;
Viet Nam;VNM;;138,8654955;139,9496874
Vanuatu;VUT;;78,2951469;78,19948583
World;WLD;;107,4424802;108,0213877
Samoa;WSM;;31,54083853;60,40057199
Kosovo;XKX;32,30209935;;
Yemen, Rep.;YEM;;46,0195416;
South Africa;ZAF;;168,9243909;167,3958702
Zambia;ZMB;;103,9746368;99,10241824
Zimbabwe;ZWE;;89,14601935;87,62450647
