source_microsoft,creation_year,all_ways,modified_ways,modified_ways_share,avg_n_contributions
0,2018-01-01 00:00:00+00,66862994,19690329,0.2944876952414066,1.413994712830239
0,2019-01-01 00:00:00+00,48659489,14827426,0.3047180787286936,1.4218790912498074
0,2020-01-01 00:00:00+00,58906128,18200697,0.30897798952258415,1.410427264884903
0,2021-01-01 00:00:00+00,61699117,13496034,0.21873949995102848,1.2937183039426643
0,2022-01-01 00:00:00+00,51017012,8637165,0.16929970340089695,1.2131238301451288
0,2023-01-01 00:00:00+00,42390042,6978491,0.16462571563387457,1.2021193326489272
0,2024-01-01 00:00:00+00,10120665,794187,0.07847181978654565,1.0898540757944266
1,2019-01-01 00:00:00+00,14273,4069,0.28508372451481817,1.3196244657745393
1,2020-01-01 00:00:00+00,2693139,693733,0.25759271987075305,1.3314986712531363
1,2021-01-01 00:00:00+00,3531430,976038,0.27638605324188786,1.3658764296616386
1,2022-01-01 00:00:00+00,6948531,995045,0.14320221065430952,1.1626945321248476
1,2023-01-01 00:00:00+00,8990140,1028439,0.11439632753216301,1.128441047636633
1,2024-01-01 00:00:00+00,2664631,199370,0.07482086637887198,1.0912137553004524
