,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
158,GNQ,26.0,110865.0,0.023451946060524063,0.023,110839.0,889.0,44.45,1674908.0,0.596,0.597047718,10.0,-0.5327627660394301,-0.2877917757488067,-0.32830971678321774
159,GMB,0.0,276026.0,0.0,0.0,276026.0,377.0,18.85,2705992.0,0.5,0.739100485,20.0,-1.072011663499739,-0.2794844256042026,-0.36988083092964735
168,FJI,0.0,242323.0,0.0,0.0,242323.0,821.0,41.05,929766.0,0.73,2.473740705,23.0,0.21993881999891812,-0.17804139153466464,-0.3338308803807904
170,MDG,4607.0,4758075.0,0.09682487140282572,0.097,4753468.0,4805.0,240.25,29611714.0,0.501,1.526422955,452.0,-1.0663944874845275,-0.2334412293107817,-0.010355648428884943
171,PHL,40503.0,10336128.0,0.3918585373555746,0.392,10295625.0,11821.0,591.05,115559009.0,0.699,2.911066847,3364.0,0.04580636352735982,-0.152466237556968,0.5592985251089083
172,LKA,5951.0,3021820.0,0.196934297873467,0.197,3015869.0,5268.0,263.4,22181000.0,0.782,0.734863171,163.0,0.5120319727899191,-0.2797322268390116,0.02723698018399962
173,BHS,6.0,95919.0,0.006255277890720296,0.006,95913.0,376.0,18.8,409984.0,0.812,86.83265688,356.0,0.6805472532462659,4.755329983660257,-0.3699620245119646
175,JPN,129961.0,20706691.0,0.6276280454467592,0.628,20576730.0,13894.0,694.7,125124989.0,0.925,0.988611476,1237.0,1.3152881429651713,-0.26489283959754517,0.7276128212525581
176,ISL,3.0,117119.0,0.0025614972805437205,0.003,117116.0,1080.0,54.0,382003.0,0.959,0.0,0.0,1.5062721274823636,-0.3227075647982581,-0.3128017425606239
177,SYC,66.0,37722.0,0.17496421186575473,0.175,37656.0,196.0,9.8,119878.0,0.785,0.0,0.0,0.5288835008355538,-0.3227075647982581,-0.38457686932906876
178,KIR,0.0,13936.0,0.0,0.0,13936.0,244.0,12.2,131232.0,0.624,0.0,0.0,-0.3754818376135064,-0.3227075647982581,-0.380679577377841
179,MHL,0.0,639.0,0.0,0.0,639.0,40.0,2.5,41569.0,0.639,0.0,0.0,-0.29122419738533306,-0.3227075647982581,-0.3964311323473866
180,TTO,637.0,114641.0,0.5556476304289041,0.556,114004.0,725.0,36.25,1531044.0,0.81,0.0,0.0,0.6693129012158427,-0.3227075647982581,-0.34162546428324597
181,GRD,126.0,42300.0,0.2978723404255319,0.298,42174.0,121.0,6.05,125438.0,0.795,0.0,0.0,0.5850552609876694,-0.3227075647982581,-0.39066638800286213
182,VCT,62.0,31008.0,0.19994840041279668,0.2,30946.0,178.0,8.9,103948.0,0.751,7.69615577,8.0,0.33789951631836085,0.12736927706153753,-0.38603835381077917
183,BRB,19.0,149170.0,0.01273714553864718,0.013,149151.0,233.0,11.65,281635.0,0.79,0.0,0.0,0.5569693809116116,-0.3227075647982581,-0.38157270678333066
184,LCA,663.0,59662.0,1.1112600985551941,1.111,58999.0,398.0,19.9,179857.0,0.715,2.223989058,4.0,0.13568117977074473,-0.19264705128095153,-0.3681757657009852
185,DMA,7.0,30467.0,0.02297567860307874,0.023,30460.0,135.0,6.75,72737.0,0.72,0.0,0.0,0.16376705984680254,-0.3227075647982581,-0.38952967785042075
186,ATG,152.0,39370.0,0.3860807721615443,0.386,39218.0,113.0,5.65,93763.0,0.788,0.0,0.0,0.5457350288811885,-0.3227075647982581,-0.39131593666140013
187,KNA,644.0,9603.0,6.706237634072686,6.706,8959.0,105.0,5.25,47657.0,0.777,0.0,0.0,0.48394609271386135,-0.3227075647982581,-0.3919654853199381
188,JAM,23.0,974361.0,0.0023605214083897035,0.002,974338.0,531.0,26.55,2827377.0,0.709,0.0,0.0,0.1019781236794754,-0.3227075647982581,-0.35737701925279153
189,MUS,901.0,48929.0,1.8414437245805146,1.841,48028.0,576.0,28.8,1262523.0,0.802,0.316825911,4.0,0.6243754930941503,-0.30417935283065745,-0.3537233080485155
190,COM,235.0,89574.0,0.26235291490834395,0.262,89339.0,224.0,11.2,836774.0,0.558,0.95605265,8.0,-0.7462154546174686,-0.2667969036548066,-0.3823034490241859
191,STP,0.0,12349.0,0.0,0.0,12349.0,88.0,4.4,227380.0,0.618,3.518339344,8.0,-0.40918489370477573,-0.11695249592202285,-0.39334577621933126
192,CPV,0.0,71365.0,0.0,0.0,71365.0,338.0,16.9,593149.0,0.662,0.168591703,1.0,-0.1620291490354672,-0.3128481981848918,-0.3730473806400199
193,MLT,99.0,19298.0,0.5130065291740077,0.513,19199.0,679.0,33.95,531113.0,0.918,14.30957254,76.0,1.2759679108586903,0.5141267469852798,-0.3453603690698393
194,SGP,13.0,108256.0,0.012008572273130359,0.012,108243.0,1705.0,85.25,5637022.0,0.939,0.0,0.0,1.3939286071781325,-0.3227075647982581,-0.2620557536123455
195,TON,0.0,23860.0,0.0,0.0,23860.0,96.0,5.052631578947368,106858.0,0.745,3.743285482,4.0,0.30419646022709146,-0.10379748056042529,-0.39228598630276934
196,WSM,0.0,45756.0,0.0,0.0,45756.0,156.0,7.8,222382.0,0.707,37.32316464,83.0,0.09074377164905228,1.8599785152918797,-0.38782461262175855
197,SLB,0.0,50623.0,0.0,0.0,50623.0,168.0,8.4,724273.0,0.564,6.627335273,48.0,-0.7125123985261999,0.06486386940334805,-0.3868502896339516
198,TUV,0.0,207.0,0.0,0.0,207.0,28.0,2.3333333333333335,11312.0,0.641,0.0,0.0,-0.27998984535490995,-0.3227075647982581,-0.3967017776217774
199,MDV,4.0,3925.0,0.1019108280254777,0.102,3921.0,350.0,17.5,523787.0,0.747,0.0,0.0,0.3154308122575146,-0.3227075647982581,-0.372073057652213
200,NRU,0.0,1903.0,0.0,0.0,1903.0,33.0,2.2,12668.0,0.0,0.0,0.0,-3.8805996711055153,-0.3227075647982581,-0.39691829384129007
201,FSM,0.0,8036.0,0.0,0.0,8036.0,60.0,3.3333333333333335,114164.0,0.628,0.0,0.0,-0.3530131335526602,-0.3227075647982581,-0.39507790597543246
202,VUT,0.0,98039.0,0.0,0.0,98039.0,124.0,6.2,326740.0,0.607,0.918161229,3.0,-0.4709738298721029,-0.2690128217841846,-0.39042280725591044
203,PLW,0.0,2058.0,0.0,0.0,2058.0,54.0,2.8421052631578947,18055.0,0.767,0.0,0.0,0.42777433256174574,-0.3227075647982581,-0.3958755973104791
204,BHR,100.0,18061.0,0.5536791982725209,0.554,17961.0,488.0,24.4,1472233.0,0.875,0.0,0.0,1.0344293422045934,-0.3227075647982581,-0.3608683432924331
