country_iso_a3,source_microsoft,creation_year,all_ways,modified_ways,modified_ways_share,avg_n_contributions
ARM,0,2018-01-01 00:00:00+00,45251,19510,0.431150692802369,1.757021944266425
ARM,0,2019-01-01 00:00:00+00,34836,16624,0.4772074865082099,1.7689459180158458
ARM,0,2020-01-01 00:00:00+00,21224,6479,0.3052676215604975,1.5438654353562005
ARM,0,2021-01-01 00:00:00+00,31543,17156,0.5438924642551438,1.8171702120914308
ARM,0,2022-01-01 00:00:00+00,39074,14407,0.3687106515841736,1.6152940574294927
ARM,0,2023-01-01 00:00:00+00,31239,3466,0.11095105477127949,1.1235955056179776
ARM,0,2024-01-01 00:00:00+00,13887,450,0.03240440699935191,1.0419096997191617
ARM,1,2023-01-01 00:00:00+00,1837,58,0.031573217201959713,1.0315732172019598
ARM,1,2024-01-01 00:00:00+00,176,0,0.0,1.0
ATG,0,2018-01-01 00:00:00+00,494,122,0.24696356275303644,1.2530364372469636
ATG,0,2019-01-01 00:00:00+00,231,34,0.1471861471861472,1.1645021645021645
ATG,0,2020-01-01 00:00:00+00,15,6,0.4,1.4
ATG,0,2021-01-01 00:00:00+00,238,20,0.08403361344537816,1.0924369747899159
ATG,0,2022-01-01 00:00:00+00,116,4,0.034482758620689655,1.0344827586206897
ATG,0,2023-01-01 00:00:00+00,69,0,0.0,1.0
ATG,0,2024-01-01 00:00:00+00,35,0,0.0,1.0
ATG,1,2023-01-01 00:00:00+00,156,0,0.0,1.0
ATG,1,2024-01-01 00:00:00+00,50,0,0.0,1.0
AUS,0,2018-01-01 00:00:00+00,291976,68430,0.23436857823930735,1.4527152916678083
AUS,0,2019-01-01 00:00:00+00,158773,43549,0.27428467056741385,1.4994740919425846
AUS,0,2020-01-01 00:00:00+00,275902,73279,0.265597929699676,1.4660386659031106
AUS,0,2021-01-01 00:00:00+00,233833,59025,0.2524237383089641,1.4196798569919558
AUS,0,2022-01-01 00:00:00+00,353940,56864,0.16065999886986496,1.2229784709272757
AUS,0,2023-01-01 00:00:00+00,325229,41190,0.12664922254780478,1.1600041816689164
AUS,0,2024-01-01 00:00:00+00,56659,3412,0.06021991210575548,1.0804638274590093
AUS,1,2020-01-01 00:00:00+00,6843,814,0.1189536752886161,1.124945199473915
AUS,1,2021-01-01 00:00:00+00,223572,19681,0.0880298069525701,1.1241747624926197
AUS,1,2022-01-01 00:00:00+00,41106,4618,0.11234369678392449,1.154819247798375
